Fund Name,Website,Description,Application Deadline,Budget Min,Budget Max,Collaboration History,Categories
"PULJER: Region Nordjylland, UVM, EU",,,N/A,0,0,,"NoCategory"
Region nordjylland uddannelsespulje,https://rn.dk/regional-udvikling/uddannelse-og-kompetence/uddannelsespuljen,"Udviklingsinitiativer og -projekter på de nordjyske ungdomsuddannelser. 4 tematikker. 2 tuper af projekter: størrer projekter typisk på op til ca. 2 mio. og en forsøgs og afprøvningspulje, hvor der kan søges om mindre projekter på op til 100.000 kr.",2025-01-03 00:00,100000,2000000,"Livsduelighed, EUX Fagsynergier, Hurtig indsats til trivsel (HITT), SMK, Team Trivsel, Læse og skrive vdanskeligheder","NoCategory"
Den Nordjyske Teknologipagt,https://rn.dk/regional-udvikling/uddannelse-og-kompetence/teknologipagt,De potentielle STEM'er; Piger og kvinder i STEM; STEM-kompetencer målrettet nordjyske virksomheders behov; STEM-kompetencer til alle - potentielle temaer:,2025-01-03 00:00,0,0,,"BÃ¦redygtighed, Demokrati, STEM, Teknologi, digitalisering og markedsfÃ¸ring, GrÃ¸n omstilling, Piger i EUD/STEM"
UVM puljer,https://www.uvm.dk/puljer-udbud-og-prisuddelinger/puljer/puljeoversigt,"Finansloven, nyhedsbrev og skal running kontrolleres for aktive opslag",N/A,0,0,,"NoCategory"
UVM Rejsepulje til studieture til Færøerne og Grønland 2024-2026,https://www.uvm.dk/puljer-udbud-og-prisuddelinger/puljer/puljeoversigt/aktive-puljer/rejsepulje-til-studieture-til-faeroeerne-og-groenland-2024-2026,"FormålPuljens formål er at give tilskud til, at flere studieture på ungdomsuddannelserne går til Færøerne og Grønland, og skal dermed være med til at øge danske elevers kendskab til klima, teknologi, historie, kultur, sprog, sociale- og samfundsmæssige forhold og natur i de øvrige dele af rigsfællesskabet.",2024-09-30 13:00,28,28,,"NoCategory"
"UVM Pulje til investering i digitalt læringsudstyr, herunder avanceret digital læringsteknologi, hos AMU-udbyderne",https://www.uvm.dk/puljer-udbud-og-prisuddelinger/puljer/puljeoversigt/aktive-puljer/240906-pulje-til-investering-i-digitalt-laeringsudstyr--herunder-avanceret-digital-laeringsteknologi,,2024-10-24 13:00,13580000,27160000,,"Teknologi, digitalisering og markedsfÃ¸ring"
Trepartsmidler Pulje til rekruttering og fastholdelse 18-25 årige,https://virk.dk/vejledning/aub/aub-fagligt-udvalg/#Pulje-til-rekruttering-og-fastholdelse-af-18-25-aarige,"Pulje til rekruttering og fastholdelse 18-25 årige. Der er tidligere bevilget midler til projekter inden for disse områder: 1. Kampagner målrettet erhvervsuddannelser, 2. Planlægning af læringsforløb, 3. Rekruttering af studenter",2024-11-15 00:00,5000000,5000000,Elev-Ambassadørnetværk,"Attraktive EUD, Teknologi, digitalisering og markedsfÃ¸ring"
Trepartsmidlerne - De faglige udvalg,Eget notat: https://tc201512.sharepoint.com/:w:/r/sites/VidenogProjekter128/Delte%20dokumenter/Fonde/3%20partsmidler/Oversigt%20over%20faglige%20udvalg_Afklaring%20af%20trepartsflow.docx?d=wa47d8722de904bf58229978a14620bac&csf=1&web=1&e=aF6KlC,Det er de faglige udvalg der skal indstille projekterne,N/A,0,0,,"NoCategory"
EU - Erasmus,https://erasmus-plus.ec.europa.eu/da/about-erasmus/what-is-erasmus,"Deltage i samarbejdsprojekter med institutioner i de europæiske lande. Muligheder med Erasmus+Erasmus+ tilbyder opholds- og samarbejdsmuligheder inden for videregående uddannelseerhvervsuddannelseskoleuddannelse, herunder førskoleundervisning og børnepasningvoksenuddannelseungeidræt",N/A,100000,100000,,"NoCategory"
EU - INTERREG,,,N/A,0,0,,"NoCategory"
Private fonde,,,N/A,0,0,,"NoCategory"
A.P. Møller Fonden,https://www.apmollerfonde.dk/saerligt-fokus-paa-erhvervsuddannelser/,"Det kan f.eks. ske ved at styrke fagligt interessante miljøer og uddannelser gennem nye ”flagskibe” såsom eksemplariske uddannelsesbyggerier, der gennem visionær nytænkning af de fysiske rammer bidrager til at styrke erhvervsuddannelsernes kvalitet og omdømme, evt. med anvendelse af helt ny teknologi samt nytænkte pædagogiske rammer.",1970-01-01 00:00,100000000,100000000,,"AnlÃ¦gsprojekter"
Arbejdernes Landsbanks Fond,https://www.al-bank.dk/om-banken/bygger-paa-sunde-vaerdier/arbejdernes-landsbanks-fond,"Støtte til videreuddannelse eller efteruddannelse. Støtte til skoler, læreanstalter og andre institutioner mmed tilknytning til uddannelse generelt.",1970-01-01 00:00,0,0,,"NoCategory"
Augustinus fonden,http://augustinusfonden.dk/projekter/#viden-og-uddannelse,Viden og uddannelse. Der er lavet forskellige forskningsprojekter,1970-01-01 00:00,0,0,,"Viden og uddannelse"
Bikubenfonden,https://www.bikubenfonden.dk/unge-paa-kanten,Unge på kanten - i alderen 13-30 år ramt af komplekse sociale problemer. Ønsker at styrke de unge i at mestre deres eget liv.,N/A,0,0,,"Trivsel"
Boligfonden Kuben,https://www.boligfondenkuben.dk/,"Arbejder for fremme af godt håndværk og nytænkningen indenfor byggeri. Bakker op om projekter der skaber bæredygtige løsninger - økonomisk, miljømæssigt og socialt. Tre temaer: Videreførelse og udvikling af det gode håndværk: Det gode håndværk er med til at definere udviklingspotentialet for fremtidens byggeri. Innovative designløsninger er ikke noget værd, hvis håndværket, der skal skabe idéerne i praksis, ikke er på topniveau. 2:",N/A,0,0,,"BÃ¦redygtighed, Demokrati, Byggebranchen, GrÃ¸n omstilling"
Bygge-og anlægsbranchens Uddannelsesfond,https://www.bygud.dk/uddannelses-udviklingsfonde/,Måske mest støtte til individers efteruddannelse,N/A,0,0,,"NoCategory"
CAC Fonden,https://www.cac.dk/om-os/cac-fonden/,"Aktieselskabet CARL CHRISTENSEN har siden 1967 været ejet af C.A.C. Fonden, der blev grundlagt af fabrikant Carl Christensen. C.A.C. Fonden er stiftet med det formål at yde støtte til danske samfundsgavnlige, kulturelle eller sociale formål. ",1970-01-01 00:00,0,0,,"NoCategory"
Danfoss Uddannelsesfond,https://www.fonde.dk/fonde/Danfoss-Uddannelsesfond.aspx,"Legater tildeles lærlinge i Danfoss koncernen, der efter afsluttet uddannelse beslutter sig for at påbegynde en videreuddannelse ved et ingeniørstudium, og som har udmærket sig på særlig vis under uddannelses-forløbet hos Danfoss. Legater beløber sig til 75.000 kr. for en BA og kan eventuelt forlænges, hvis den studerende vælger at fortsætte på kandidatdelen. ",N/A,0,0,,"NoCategory"
Det obelske familiefond,https://obel.com/nordjylland/,"Udvikling af Nordjylland og Aalborg - og mental sundhed og kunst. Det brede perspektiv er tiltrækning af arbejdskraft, beboere og besøgende til Nordjylland",1970-01-01 00:00,100000,100000,,"NoCategory"
Ebbefos Fonden,https://ebbefosfonden.dk/om-ebbefos-fonden/,"Fondens mission er at være et modtræk til mistrivsel. Visionen er et samfund, hvor alle trives og har mulighed for at udvikle sig og indgå i positive fællesskaber.Der er ingen tvivl om, at den stigende mistrivsel er en kompleks samfundsudfordring, som ikke lader sig løse af velfærdsstaten alene eller af en enkelt aktør. At dæmme op for den stigende mistrivsel kræver samarbejde på tværs af sektorer, herunder inddragelse af civilsamfundet.",2024-02-29 00:00,0,0,,"NoCategory"
Egmont Fonden,https://www.egmontfonden.dk/,Støtter initiativer der støtter udsatte børn og unge. Ordblindhed - socialskævhed skal minimeres,N/A,0,0,,"NoCategory"
Fabrikant Mads Clausens Fond,https://www.danfoss.com/da-dk/about-danfoss/company/foundations/the-fabrikant-mads-clausen-foundation/,"Der gives primært donationer til universiteter og andre højrere læreanstalter til indkøb af udstyr til forskning, udvikling og undervisning inden for teknik og naturvidenskab. Det tages med i betragtning, hvorvidt de projekter, der søges støtte til, har relation til Danfoss' forretningsområder.",N/A,0,0,,"NoCategory"
FLS gavefond,https://www.flsmidth.com/en-gb/company/about-us/donation-fund,Education and training with a business focus,2024-10-01 00:00,50000,50000,,"NoCategory"
Fonden for Entreprenørskab,https://www.ffe-ye.dk/soeg-stoette/uddannelsesinstitutioner,Projekter og aktiviteter inden for undervisning og uddannelse i entreprenørskab,2024-03-01 00:00,100000,100000,,"IvÃ¦rksÃ¦tteri"
Grundejernes Investeringsfond,https://gi.dk/fond-og-udvikling/hvad-st%C3%B8tter-gi,"Udvikling af de byggefaglige kompetencer på alle niveauer – korte, mellemlange og videregående uddannelser. GI har særligt fokus på at støtte udvikling af tværfaglig forståelse og effektive samarbejdsformer",1970-01-01 00:00,500000,500000,,"NoCategory"
Hedorfs Fond,https://hedorf.dk/,"Uddannelse og innovation indenfor godstransport, logistik og handel (evt. lastvognsmekaniker)",2024-04-01 00:00,0,0,,"NoCategory"
Illum Fondet,https://www.koda.dk/medlem/sog-stotte/private-fonde/illum-fondet,"Til gavn for erhvervsmæssige, videnskabelige, tekniske, arkitektoniske og kunstneriske formål, samt andre samfundsgavnlige formål. Støtte kan ydes til institutioner, undervisningsanstalter, selskaber og foreninger samt enkeltpersoner",1970-01-01 00:00,10,25000,,"STEM, Byggebranchen, Teknologi, digitalisering og markedsfÃ¸ring, Piger i EUD/STEM"
Industriens Fond,https://www.industriensfond.dk/,"Internationalisering, at skabe og bringe viden i anvendelse, at introducere nye teknologier, at innovere, at sikre relevante kompetencer",1970-01-01 00:00,1000000,1000000,,"NoCategory"
Johan Heinrich Hoffmann og hustrus Mindefond,https://johanhoffmann.dk/,"Med særligt henblik på forskning og uddannelse i bygge- og anlægsvirksomhed. Støtten gives hovedsageligt som støtte til indkøb af udstyr, indretning af lokaler m.v.",1970-01-01 00:00,500000,500000,,"Byggebranchen"
Kata Fonden????,https://katafonden.dk/,"Hører under Bitten og Mads Clausens Fond, m.fl. Driver lærings og innovationsorienterede projekter.",N/A,0,0,,"NoCategory"
Kvindernes Bygnings Fond,https://kvindefond.dk/,"Formål at støtte kvindepolitiske initiativer og projekter, som ved deres indhold tager sigte på at fremme kvinders ligestilling i bred forstand",2024-03-15 00:00,50000,50000,Oktober 2020 - 20.000 kr.,"Piger i EUD/STEM"
Landbrugets Hudefond,https://lf.dk/om-os/fonde/landbrugets-hudefond,"projekter, som fremmer landbruget, specielt kvægbruget – blandt andet inden for avl, omsætning, slagtning og dygtiggørelse af landboungdommen",2024-03-02 00:00,0,0,,"NoCategory"
Landbrugets Kulturfond,https://lf.dk/om-os/fonde/landbrugets-kulturfond,"støtter aktiviteter til fremme af landbokulturen i videste forstand, som bidrager til forståelsen af dens værdier i landdistrikterne og det øvrige samfund, herunder ex. initiativer, der udvider forståelsen af landbefolkningens eget kulturgrundlag og initiativer, der udbygger kontakten mellem landbefolkningen og andre grupper i samfundet til berigelse af det fælles danske kulturgrundlag",N/A,0,0,,"NoCategory"
Nordea Fonden,https://nordeafonden.dk/det-stoetter-vi/erhvervsuddannelser,Øge attraktionsværdien og prestigen af de danske erhvervsuddannelser,1970-01-01 00:00,1000000,1000000,,"Attraktive EUD"
Norlys Vækstpulje,https://norlys.dk/om-norlys/vaekstpulje,"Innovative tiltag og aktiviteter, der bidrager til fællesskab og en grøn og digital samfundsudvikling: Innovation og iværksætteri; Forskning, formidling og uddannelse",2020-10-15 00:00,50000,500000,,"NoCategory"
Novo Nordisk Fonden,https://novonordiskfonden.dk/da/,"Vi støtter en bred vifte af projekter og initiativer, der bidrager til at fremme menneskers sundhed og planetens bæredygtighed. Yde et betydende bidrag til forskning og udvikling, der forbedrer menneskers liv og samfundets bæredygtighed. Formålet er endvidere at motivere flere unge til at vælge en erhvervs- eller professionsrettet uddannelse inden for bæredygtighed og sundhed.Der er tre opslag inden for uddannelse og formidling i 2024:Projektstøtte til naturvidenskabelig uddannelse og uformelle læringsmiljøerProjektstøtte til styrkelse af erhvervs- og professionsrettede uddannelser inden for teknologi, bæredygtighed og sundhedProjektstøtte til nytænkende kommunikation og oplysende samtale om naturvidenskab og teknologi",2024-09-05 14:00,0,0,,"Attraktive EUD, BÃ¦redygtighed, Demokrati, STEM, Teknologi, digitalisering og markedsfÃ¸ring, GrÃ¸n omstilling, Viden og uddannelse"
Otto Mønsted Fonden,https://omfonden.dk/,Hovedformål er at bidrage til udviklingen af Danmarks Handel og Industri - se under særlige formål,1970-01-01 00:00,100000,100000,,"IvÃ¦rksÃ¦tteri"
PROMILLEAFGIFTSFONDEN,https://promilleafgiftsfonden.dk/om-fonden,"formål er at styrke landbrugets og fødevareindustriens udvikling. Fonden kan indenfor sit formål yde støtte til ex. afsætningsfremme, produktudvikling, rådgivning, uddannelse, dyrevelfærd",1970-01-01 00:00,0,0,,"NoCategory"
Realdania,https://realdania.dk/soeg-stoette,Støtter projekter der øger livskvaliteten  ved at bevare og udvikle det liv der leves i og mellem husene i Danmark. De støtter kun projekter til det byggede miljø og er almennyttige. De støtter ikke projekter der har rent undervisningsmæssigt formål.,N/A,0,0,,"BÃ¦redygtighed, Demokrati, Byggebranchen, AnlÃ¦gsprojekter"
SE Vækstpulje Nyfors,https://norlys.dk/om-norlys/vaekstpuljer,"Nye og/eller særligt innovative virksomheder (nye ideer, der skaber nye arbejdspladser) / Uddannelse",2024-03-01 00:00,100000,100000,,"NoCategory"
Siemens Fonden,https://new.siemens.com/dk/da/virksomhedsoplysninger/om-siemens/siemensfonden.html,Aktiviteter som er med til at øge interessen for teknologi både alment og især i forhold til børn og unge,2024-10-01 00:00,35000,35000,,"NoCategory"
STARK Fonden,https://www.stark.dk/starkfonden,"Aktiviteter, der har til formål at at støtte unge med interesse for håndværk i Danmark",1970-01-01 00:00,0,0,,"NoCategory"
Stillinges Fond,https://www.stillingesfond.dk/,"Unge håndværkeres videre uddannelse i udlandet, samt gruppers studieture til udlandet. Ligeledes kan fonden yde støtte til aktiviteter, der sætter generelt bidtager til at fremme håndværksuddannelserne",1970-01-01 00:00,20000,20000,,"NoCategory"
Tietgenfonden,https://tietgenfonden.dk/,Fremme af dansk erhvervsliv på et samfundsgavnligt og almennyttigt grundlag. Siden 2017 har fonden haft fokus på at fremme attraktionsværdien af erhvervsuddannelser,1970-01-01 00:00,0,0,,"NoCategory"
Toyota Fund for Europe,https://www.toyota-europe.com/world-of-toyota/feel/operations/fund-for-europe,"Støtter 3 områer: Grøn omstilling / bæredygtighed / klima / miljø + Vejsikkerhed + teknisk uddannelse (personvognsmekaniker, auto, biler)",1970-01-01 00:00,0,0,,"NoCategory"
Trigon Fonden,https://www.trigonfonden.dk/,Støtter tekniske uddannelser i Nordjylland,1970-01-01 00:00,0,0,,"Attraktive EUD, STEM, Byggebranchen, Teknologi, digitalisering og markedsfÃ¸ring, Piger i EUD/STEM"
Tryg Fonden (Regional),https://www.tryghed.dk/saadan-stoetter-vi/trygfondens-maal,"5 tematikker, hvor 2 af de relevante er: Børn og unge skal kunne udfolde deres potentiale. Vi vil arbejde for, at alle børn og unge kan leve et liv, hvor der er plads til dem. Et liv, hvor de trives fysisk, mentalt og socialt og rustes til uddannelse, så de kan udfolde deres potentiale og leve et godt og sundt liv.Stærke rammer for tryghed. Vi vil øge danskernes tillid til og deltagelse i civilsamfund og demokrati og medvirke til at skabe en god offentlig debat om tryghed. Digital tryghed. Alle skal kunne færdes sikkert og trygt digitalt. Vi vil udvikle og udbrede indsatser, viden og værktøjer, der gør den enkelte i stand til at tage ansvar for egen og andres digitale tryghed. Det er TryghedsGruppens repræsentanter i de fem regionale råd, der træffer beslutning om de regionale donationer - indenfor den økonomiske ramme, der er lagt for hvert råd af TryghedsGruppens bestyrelse.",1970-01-01 00:00,0,0,,"Trivsel, BÃ¦redygtighed, Demokrati, Teknologi, digitalisering og markedsfÃ¸ring"
Tuborgfondet,https://www.tuborgfondet.dk/arbejdsmarked/,"2 puljer: 1. Drømmepuljen Musikprojekter. 2. Arbejdsmarkedet. Udvikle og afprøve metoder, der kan skabe nye jobmuligheder for unge og gøre unge parate til at varetage et job / fællesskab, frivillighed & folkelighed",1970-01-01 00:00,100000,100000,,"IvÃ¦rksÃ¦tteri"
Tømrerfagets lærebogsudvalg og honorarfond,http://www.woodweb.dk/udvalg/vedtaegter/laerebogsudvalg-og-honorarfond.aspx,Yder økonomisk støtte til udvikling af undervisning indenfor Træfagenes Byggeuddannelse samt at formidle kontakten lnellem lærerne. Endvidere kan en del af fondens midler anvendes til studierejser til gavn for undervisnIngen,N/A,25000,25000,,"NoCategory"
Undervisningsmiljøprisen,https://dcum.dk/om-dcum/undervisningsmiljoeprisen-ump,Pris for at have gjort en særlig indsats for at skabe og opretholde et godt undervisningsmiljø,N/A,100000,100000,,"NoCategory"
Velux fonden - sociale projekter i udlandet,https://veluxfoundations.dk/en/social-projects/social-projects-abroad,Mobiliteter og programmer der udvikler VET særligt i central- og østeuropa,1970-01-01 00:00,3000000,3000000,,"NoCategory"
Villum Fonden / Velux Fonden,https://veluxfoundations.dk/da/aktuelle-opslag,"Erhvervsuddannelserne spiller en helt central rolle i den grønne omstilling af dansk erhvervsliv i et mere bæredygtigt samfund. Med puljen ”Grønnere EUD” ønsker Villum Fonden at understøtte, at erhvervsskolerne uddanner unge som frontløbere i bæredygtighed og grøn omstilling på det danske arbejdsmarked.Puljen er rettet mod to hovedområder:Teknologi, byggeri og transportFødevarer, jordbrug og oplevelser",1970-01-01 00:00,0,0,,"NoCategory"
